index,mom-rob,mom-dif-rob,MACD-rob,RSI-rob,Vol-rob,Amo-rob,VWR-rob,VUS-rob,STD-rob,ATR-rob,Vot-Idea,Equal,PCA-like,Gradual,SVM,DecTree,XGBoost,LSTM,GRU,LSTM-Att,GRU-Att
37,600366.SH,600808.SH,000410.SZ,000733.SZ,600132.SH,000691.SZ,600173.SH,000998.SZ,000428.SZ,000056.SZ,000691.SZ,000668.SZ,600051.SH,000059.SZ,000059.SZ,000059.SZ,000042.SZ,000059.SZ,000059.SZ,000059.SZ,000059.SZ
38,000799.SZ,600088.SH,600105.SH,000816.SZ,000935.SZ,600693.SH,600218.SH,600881.SH,600098.SH,000620.SZ,600727.SH,600051.SH,000668.SZ,000060.SZ,000060.SZ,000060.SZ,600889.SH,000060.SZ,000060.SZ,000060.SZ,000060.SZ
39,000877.SZ,000060.SZ,600299.SH,600782.SH,600883.SH,000692.SZ,600232.SH,000155.SZ,600655.SH,600794.SH,600729.SH,600681.SH,600681.SH,000061.SZ,000061.SZ,000061.SZ,600252.SH,000061.SZ,000061.SZ,000061.SZ,000061.SZ
40,600210.SH,000757.SZ,000061.SZ,600232.SH,000026.SZ,600232.SH,000672.SZ,000833.SZ,000759.SZ,000573.SZ,000800.SZ,600232.SH,600232.SH,000062.SZ,000062.SZ,000062.SZ,000793.SZ,000062.SZ,000062.SZ,000062.SZ,000062.SZ
41,600103.SH,600323.SH,000555.SZ,000905.SZ,000920.SZ,000911.SZ,000819.SZ,600683.SH,000705.SZ,000813.SZ,000936.SZ,000631.SZ,000911.SZ,000063.SZ,000063.SZ,000063.SZ,000008.SZ,000063.SZ,000063.SZ,000063.SZ,000063.SZ
42,600189.SH,000905.SZ,600820.SH,600874.SH,600148.SH,000861.SZ,000731.SZ,000931.SZ,600279.SH,600704.SH,000719.SZ,000911.SZ,000631.SZ,000065.SZ,000065.SZ,000065.SZ,600844.SH,000065.SZ,000065.SZ,000065.SZ,000065.SZ
43,000554.SZ,000555.SZ,000623.SZ,000620.SZ,000635.SZ,000631.SZ,000782.SZ,600769.SH,600227.SH,600168.SH,600237.SH,000695.SZ,000695.SZ,000066.SZ,000066.SZ,000066.SZ,600283.SH,000066.SZ,000066.SZ,000066.SZ,000066.SZ
44,000717.SZ,600059.SH,000880.SZ,600765.SH,600729.SH,000695.SZ,000978.SZ,000803.SZ,000690.SZ,600853.SH,600267.SH,600616.SH,600616.SH,000068.SZ,000068.SZ,000068.SZ,000813.SZ,000068.SZ,000068.SZ,000068.SZ,000068.SZ
45,000797.SZ,600604.SH,600865.SH,000928.SZ,600359.SH,000850.SZ,600663.SH,600262.SH,600713.SH,600744.SH,600737.SH,000850.SZ,000850.SZ,000069.SZ,000069.SZ,000069.SZ,600866.SH,000069.SZ,000069.SZ,000069.SZ,000069.SZ
46,600269.SH,000789.SZ,000761.SZ,600879.SH,600173.SH,000608.SZ,000799.SZ,600338.SH,600232.SH,000069.SZ,000695.SZ,000637.SZ,000637.SZ,000078.SZ,000078.SZ,000078.SZ,600615.SH,000078.SZ,000078.SZ,000078.SZ,000078.SZ
47,000680.SZ,600675.SH,600158.SH,000571.SZ,600211.SH,000637.SZ,600851.SH,000517.SZ,000965.SZ,600121.SH,600717.SH,000608.SZ,000608.SZ,000088.SZ,000088.SZ,000088.SZ,000688.SZ,000088.SZ,000088.SZ,000088.SZ,000088.SZ
48,600827.SH,600880.SH,600163.SH,000407.SZ,600778.SH,600616.SH,000633.SZ,000988.SZ,000031.SZ,000428.SZ,600223.SH,000861.SZ,000861.SZ,000089.SZ,000089.SZ,000089.SZ,000056.SZ,000089.SZ,000089.SZ,000089.SZ,000089.SZ
49,000718.SZ,000517.SZ,000035.SZ,000151.SZ,600071.SH,000755.SZ,600128.SH,000890.SZ,000708.SZ,600159.SH,600827.SH,600796.SH,000755.SZ,000090.SZ,000090.SZ,000090.SZ,600058.SH,000090.SZ,000090.SZ,000090.SZ,000090.SZ
50,600897.SH,600149.SH,600651.SH,000428.SZ,600746.SH,000761.SZ,600796.SH,000601.SZ,000751.SZ,000639.SZ,600876.SH,000755.SZ,600796.SH,000096.SZ,000096.SZ,000096.SZ,600079.SH,000096.SZ,000096.SZ,000096.SZ,000096.SZ
51,000869.SZ,000778.SZ,600241.SH,000768.SZ,600232.SH,600168.SH,600230.SH,000597.SZ,600802.SH,600713.SH,000570.SZ,600168.SH,600168.SH,000099.SZ,000099.SZ,000099.SZ,600746.SH,000099.SZ,000099.SZ,000099.SZ,000099.SZ
52,000523.SZ,000831.SZ,000678.SZ,600825.SH,600616.SH,000720.SZ,600600.SH,000776.SZ,000791.SZ,600693.SH,600758.SH,000720.SZ,000761.SZ,000151.SZ,000151.SZ,000151.SZ,600881.SH,000151.SZ,000151.SZ,000151.SZ,000151.SZ
53,600230.SH,000538.SZ,600780.SH,000061.SZ,600054.SH,600796.SH,000920.SZ,600248.SH,600019.SH,600252.SH,600229.SH,000789.SZ,000720.SZ,000153.SZ,000153.SZ,000153.SZ,000011.SZ,000153.SZ,000153.SZ,000153.SZ,000153.SZ
54,000517.SZ,600221.SH,600210.SH,000042.SZ,000586.SZ,000789.SZ,600058.SH,600633.SH,600811.SH,000897.SZ,600239.SH,000761.SZ,000789.SZ,000155.SZ,000155.SZ,000155.SZ,600107.SH,000155.SZ,000155.SZ,000155.SZ,000155.SZ
55,000519.SZ,600728.SH,000601.SZ,600292.SH,000055.SZ,600883.SH,000929.SZ,600815.SH,000060.SZ,600724.SH,600784.SH,600784.SH,600784.SH,000156.SZ,000156.SZ,000156.SZ,600846.SH,000156.SZ,000156.SZ,000156.SZ,000156.SZ
56,000632.SZ,600824.SH,000703.SZ,000788.SZ,600197.SH,600784.SH,600640.SH,600067.SH,000813.SZ,000488.SZ,600088.SH,600082.SH,600082.SH,000157.SZ,000157.SZ,000157.SZ,000425.SZ,000157.SZ,000157.SZ,000157.SZ,000157.SZ
57,000009.SZ,600193.SH,000821.SZ,000959.SZ,600784.SH,600281.SH,600078.SH,000153.SZ,000607.SZ,000972.SZ,000803.SZ,600883.SH,600883.SH,000158.SZ,000158.SZ,000158.SZ,600724.SH,000158.SZ,000158.SZ,000158.SZ,000158.SZ
58,600802.SH,600132.SH,600872.SH,000632.SZ,000672.SZ,600082.SH,600648.SH,600720.SH,600724.SH,000778.SZ,600816.SH,000573.SZ,600281.SH,000159.SZ,000159.SZ,000159.SZ,000020.SZ,000159.SZ,000159.SZ,000159.SZ,000159.SZ
59,000012.SZ,600624.SH,000533.SZ,600016.SH,000885.SZ,600724.SH,000576.SZ,000546.SZ,000731.SZ,600782.SH,000564.SZ,600281.SH,000573.SZ,000301.SZ,000301.SZ,000301.SZ,600076.SH,000301.SZ,000301.SZ,000301.SZ,000301.SZ
60,000860.SZ,600807.SH,600113.SH,000592.SZ,000789.SZ,600307.SH,600764.SH,000548.SZ,000629.SZ,000959.SZ,000897.SZ,600724.SH,600724.SH,000400.SZ,000400.SZ,000400.SZ,000402.SZ,000400.SZ,000400.SZ,000400.SZ,000400.SZ
61,600787.SH,600865.SH,600673.SH,600675.SH,600167.SH,000573.SZ,600892.SH,000897.SZ,600180.SH,000591.SZ,600126.SH,000803.SZ,600307.SH,000401.SZ,000401.SZ,000401.SZ,600160.SH,000401.SZ,000401.SZ,000401.SZ,000401.SZ
